Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 526864,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526865,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526866,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526867,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526868,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526869,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526870,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526871,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526872,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526873,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526874,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526875,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526876,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526877,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526878,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526879,Collection source event,5/2/1985,Zimbabwe,Y,1200,-20.53333333,29.28333333,2000,Sorghum bicolor subsp. bicolor
PI 526880,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526881,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526882,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526883,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526884,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526885,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526886,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526887,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526888,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526890,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526891,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526892,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526894,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526895,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526896,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526898,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526899,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526900,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526902,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526903,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526904,Collection source event,5/2/1985,Zimbabwe,Y,1200,-19,28.91666667,2000,Sorghum bicolor subsp. bicolor
PI 526906,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.16666667,28.75,2000,Sorghum bicolor subsp. bicolor
PI 526907,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.16666667,28.75,2000,Sorghum bicolor subsp. bicolor
PI 526908,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526910,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526911,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
PI 526912,Collection source event,5/2/1985,Zimbabwe,Y,1300,-20.83333333,28.41666667,2000,Sorghum bicolor subsp. bicolor
