Accession,Source Type,Source Date,Geography,Is Origin?,Elevation (meters),Latitude,Longitude,Uncertainty,Taxon
PI 527164,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527166,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527167,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527168,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527170,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527171,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527172,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527174,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527175,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527176,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527178,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527179,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527180,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527182,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527183,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527184,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527186,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527187,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527188,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527189,Collection source event,4/3/1985,Zimbabwe,Y,1500,-17.58333333,27.36666667,2000,Sorghum bicolor subsp. bicolor
PI 527541,Collection source event,5/17/1985,Burundi,Y,890,-3.01666667,29.26666667,2000,Sorghum bicolor subsp. bicolor
PI 527543,Collection source event,5/27/1985,Burundi,Y,1210,-3.81666667,30.25,2000,Sorghum bicolor subsp. bicolor
PI 527544,Collection source event,5/27/1985,Burundi,Y,1210,-3.81666667,30.25,2000,Sorghum bicolor subsp. bicolor
PI 527545,Collection source event,5/28/1985,Burundi,Y,1250,-3.6,30.26666667,2000,Sorghum bicolor subsp. bicolor
PI 527547,Collection source event,5/28/1985,Burundi,Y,1190,-3.61666667,30.43333333,2000,Sorghum bicolor subsp. bicolor
PI 527548,Collection source event,5/28/1985,Burundi,Y,1280,-3.68333333,30.31666667,2000,Sorghum bicolor subsp. bicolor
PI 527549,Collection source event,6/10/1985,Burundi,Y,1420,-2.56666667,30.1,2000,Sorghum bicolor subsp. bicolor
PI 527550,Collection source event,6/10/1985,Burundi,Y,1420,-2.56666667,30.1,2000,Sorghum bicolor subsp. bicolor
PI 527551,Collection source event,6/10/1985,Burundi,Y,1430,-2.56666667,30.1,2000,Sorghum bicolor subsp. bicolor
PI 527552,Collection source event,6/10/1985,Burundi,Y,1460,-2.58333333,29.98333333,2000,Sorghum bicolor subsp. bicolor
PI 527553,Collection source event,6/11/1985,Burundi,Y,1370,-2.5,30.23333333,2000,Sorghum bicolor subsp. bicolor
PI 527554,Collection source event,6/11/1985,Burundi,Y,1370,-2.5,30.23333333,2000,Sorghum bicolor subsp. bicolor
PI 527555,Collection source event,6/12/1985,Burundi,Y,1440,-2.36666667,30,2000,Sorghum bicolor subsp. bicolor
PI 527556,Collection source event,6/12/1985,Burundi,Y,1440,-2.36666667,30,2000,Sorghum bicolor subsp. bicolor
PI 527557,Collection source event,6/12/1985,Burundi,Y,1450,-2.38333333,30.01666667,2000,Sorghum bicolor subsp. bicolor
PI 527580,Collection source event,6/13/1985,Rwanda,Y,1410,-2.41666667,30.15,2000,Sorghum bicolor subsp. bicolor
PI 527581,Collection source event,6/13/1985,Rwanda,Y,1410,-2.41666667,30.15,2000,Sorghum bicolor subsp. bicolor
PI 527582,Collection source event,6/13/1985,Rwanda,Y,1410,-2.41666667,30.15,2000,Sorghum bicolor subsp. bicolor
PI 527583,Collection source event,6/13/1985,Rwanda,Y,1410,-2.41666667,30.15,2000,Sorghum bicolor subsp. bicolor
PI 527584,Collection source event,6/13/1985,Rwanda,Y,1500,-2.3,30.13333333,2000,Sorghum bicolor subsp. bicolor
PI 527585,Collection source event,6/13/1985,Rwanda,Y,1410,-2.23333333,30,2000,Sorghum bicolor subsp. bicolor
PI 527586,Collection source event,6/13/1985,Rwanda,Y,1410,-2.23333333,30,2000,Sorghum bicolor subsp. bicolor
PI 527587,Collection source event,6/13/1985,Rwanda,Y,1410,-2.23333333,30,2000,Sorghum bicolor subsp. bicolor
PI 527588,Collection source event,6/13/1985,Rwanda,Y,1410,-2.23333333,30,2000,Sorghum bicolor subsp. bicolor
PI 527589,Collection source event,6/14/1985,Rwanda,Y,1420,-2.13333333,30.05,2000,Sorghum bicolor subsp. bicolor
PI 527590,Collection source event,6/14/1985,Rwanda,Y,1420,-2.13333333,30.05,2000,Sorghum bicolor subsp. bicolor
PI 527591,Collection source event,6/14/1985,Rwanda,Y,1420,-2.13333333,30.05,2000,Sorghum bicolor subsp. bicolor
PI 527592,Collection source event,6/14/1985,Rwanda,Y,1420,-2.13333333,30.05,2000,Sorghum bicolor subsp. bicolor
PI 527593,Collection source event,6/14/1985,Rwanda,Y,1380,-2.13333333,30.03333333,2000,Sorghum bicolor subsp. bicolor
PI 527595,Collection source event,6/14/1985,Rwanda,Y,1460,-2.21666667,30.03333333,2000,Sorghum bicolor subsp. bicolor
PI 527596,Collection source event,6/14/1985,Rwanda,Y,1460,-2.21666667,30.03333333,2000,Sorghum bicolor subsp. bicolor
PI 527597,Collection source event,6/14/1985,Rwanda,Y,1420,-2.2,30.08333333,2000,Sorghum bicolor subsp. bicolor
PI 527599,Collection source event,6/14/1985,Rwanda,Y,1440,-2.08333333,30.15,2000,Sorghum bicolor subsp. bicolor
PI 527600,Collection source event,6/14/1985,Rwanda,Y,1370,-2.16666667,30.23333333,2000,Sorghum bicolor subsp. bicolor
PI 527601,Collection source event,6/14/1985,Rwanda,Y,1370,-2.16666667,30.23333333,2000,Sorghum bicolor subsp. bicolor
PI 527603,Collection source event,6/15/1985,Rwanda,Y,1400,-2.3,30.26666667,2000,Sorghum bicolor subsp. bicolor
PI 527604,Collection source event,6/20/1985,Rwanda,Y,1550,-2.5,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527606,Collection source event,6/21/1985,Rwanda,Y,1470,-2.35,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527607,Collection source event,6/21/1985,Rwanda,Y,1470,-2.35,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527608,Collection source event,6/21/1985,Rwanda,Y,1470,-2.35,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527610,Collection source event,6/21/1985,Rwanda,Y,1470,-2.35,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527611,Collection source event,6/21/1985,Rwanda,Y,1510,-2.23333333,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527612,Collection source event,6/21/1985,Rwanda,Y,1510,-2.23333333,29.86666667,2000,Sorghum bicolor subsp. bicolor
PI 527614,Collection source event,6/25/1985,Rwanda,Y,1420,-1.31666667,30.2,2000,Sorghum bicolor subsp. bicolor
PI 527615,Collection source event,6/25/1985,Rwanda,Y,1490,-1.31666667,30.18333333,2000,Sorghum bicolor subsp. bicolor
PI 527616,Collection source event,6/25/1985,Rwanda,Y,1520,-1.33333333,30.16666667,2000,Sorghum bicolor subsp. bicolor
PI 527618,Collection source event,6/26/1985,Rwanda,Y,1750,-1.43333333,30.21666667,2000,Sorghum bicolor subsp. bicolor
PI 527619,Collection source event,6/26/1985,Rwanda,Y,1750,-1.43333333,30.21666667,2000,Sorghum bicolor subsp. bicolor
PI 527620,Collection source event,6/26/1985,Rwanda,Y,1750,-1.43333333,30.21666667,2000,Sorghum bicolor subsp. bicolor
PI 527621,Collection source event,6/26/1985,Rwanda,Y,1800,-1.71666667,30.26666667,2000,Sorghum bicolor subsp. bicolor
PI 527622,Collection source event,6/27/1985,Rwanda,Y,1500,-1.76666667,30.15,2000,Sorghum bicolor subsp. bicolor
PI 527623,Collection source event,6/28/1985,Rwanda,Y,1360,-1.96666667,30.21666667,2000,Sorghum bicolor subsp. bicolor
PI 527624,Collection source event,6/28/1985,Rwanda,Y,1360,-1.96666667,30.26666667,2000,Sorghum bicolor subsp. bicolor
PI 527625,Collection source event,6/29/1985,Rwanda,Y,1300,-1.28333333,30.76666667,2000,Sorghum bicolor subsp. bicolor
PI 527626,Collection source event,6/29/1985,Rwanda,Y,1300,-1.28333333,30.76666667,2000,Sorghum bicolor subsp. bicolor
PI 527627,Collection source event,6/29/1985,Rwanda,Y,1500,-2.35,30.75,2000,Sorghum bicolor subsp. bicolor
PI 527676,Collection source event,7/13/1985,Democratic Republic of the Congo,Y,2050,-1.45,28.88333333,2000,Sorghum bicolor subsp. bicolor
PI 527677,Collection source event,7/14/1985,Democratic Republic of the Congo,Y,2100,-1.46666667,29.03333333,2000,Sorghum bicolor subsp. bicolor
PI 527678,Collection source event,7/16/1985,Democratic Republic of the Congo,Y,1100,-1.18333333,29.43333333,2000,Sorghum bicolor subsp. bicolor
PI 527679,Collection source event,7/17/1985,Democratic Republic of the Congo,Y,1600,-0.61666667,29.11666667,2000,Sorghum bicolor subsp. bicolor
PI 527680,Collection source event,7/17/1985,Democratic Republic of the Congo,Y,1560,-0.76666667,29.03333333,2000,Sorghum bicolor subsp. bicolor
PI 532181,Collection source event,4/20/1987,Oman,Y,500,23,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532182,Collection source event,4/21/1987,Oman,Y,500,23.16666667,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532183,Collection source event,4/21/1987,Oman,Y,500,23.16666667,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532184,Collection source event,4/22/1987,Oman,Y,500,23,57.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532186,Collection source event,4/23/1987,Oman,Y,350,22.83333333,57.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532187,Collection source event,4/25/1987,Oman,Y,300,23.33333333,56.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532188,Collection source event,4/25/1987,Oman,Y,300,23.33333333,56.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532190,Collection source event,4/25/1987,Oman,Y,400,23.5,56.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532191,Collection source event,4/26/1987,Oman,Y,500,23.66666667,56.5,2000,Sorghum bicolor subsp. bicolor
PI 532192,Collection source event,4/26/1987,Oman,Y,300,23.5,56.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532194,Collection source event,4/30/1987,Oman,Y,400,22.83333333,57.83333333,2000,Sorghum bicolor subsp. bicolor
PI 532195,Collection source event,4/30/1987,Oman,Y,400,22.83333333,57.83333333,2000,Sorghum bicolor subsp. bicolor
PI 532197,Collection source event,5/4/1987,Oman,Y,300,16.66666667,53.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532198,Collection source event,5/6/1987,Oman,Y,,17,54.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532199,Collection source event,5/7/1987,Oman,Y,,17,54.5,2000,Sorghum bicolor subsp. bicolor
PI 532201,Collection source event,5/12/1987,Oman,Y,500,17.16666667,54.5,2000,Sorghum bicolor subsp. bicolor
PI 532202,Collection source event,5/12/1987,Oman,Y,400,17.16666667,54.5,2000,Sorghum bicolor subsp. bicolor
PI 532204,Collection source event,5/13/1987,Oman,Y,350,17.16666667,54.5,2000,Sorghum bicolor subsp. bicolor
PI 532205,Collection source event,5/14/1987,Oman,Y,400,17.33333333,54.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532206,Collection source event,5/18/1987,Oman,Y,800,17.33333333,54,2000,Sorghum bicolor subsp. bicolor
PI 532208,Collection source event,5/26/1987,Oman,Y,450,22.83333333,57.5,2000,Sorghum bicolor subsp. bicolor
PI 532209,Collection source event,5/26/1987,Oman,Y,400,22.83333333,57.5,2000,Sorghum bicolor subsp. bicolor
PI 532211,Collection source event,6/6/1987,Oman,Y,400,22.66666667,58,2000,Sorghum bicolor subsp. bicolor
PI 532212,Collection source event,6/6/1987,Oman,Y,400,22.5,58.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532213,Collection source event,6/8/1987,Oman,Y,100,22.5,59.5,2000,Sorghum bicolor subsp. bicolor
PI 532215,Collection source event,6/9/1987,Oman,Y,500,23.16666667,58.5,2000,Sorghum bicolor subsp. bicolor
PI 532216,Collection source event,6/10/1987,Oman,Y,600,22.83333333,58.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532217,Collection source event,6/11/1987,Oman,Y,200,22.16666667,59.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532218,Collection source event,6/15/1987,Oman,Y,50,24.5,56.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532219,Collection source event,6/16/1987,Oman,Y,300,23.33333333,57.5,2000,Sorghum bicolor subsp. bicolor
PI 532220,Collection source event,6/16/1987,Oman,Y,300,23.33333333,57.5,2000,Sorghum bicolor subsp. bicolor
PI 532221,Collection source event,6/17/1987,Oman,Y,50,23.66666667,57.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532222,Collection source event,6/20/1987,Oman,Y,600,23.33333333,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532223,Collection source event,6/20/1987,Oman,Y,650,23.33333333,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532224,Collection source event,6/20/1987,Oman,Y,700,23.33333333,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532225,Collection source event,6/22/1987,Oman,Y,400,22.66666667,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532226,Collection source event,6/22/1987,Oman,Y,400,22.66666667,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532227,Collection source event,6/22/1987,Oman,Y,400,22.66666667,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532228,Collection source event,6/22/1987,Oman,Y,400,22.66666667,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532229,Collection source event,6/2/1987,Oman,Y,500,23,57.33333333,2000,Sorghum bicolor subsp. bicolor
PI 532230,Collection source event,6/24/1987,Oman,Y,900,23.16666667,57,2000,Sorghum bicolor subsp. bicolor
PI 532231,Collection source event,6/25/1987,Oman,Y,1100,23.16666667,57.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532232,Collection source event,6/25/1987,Oman,Y,1550,23.16666667,57.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532233,Collection source event,7/1/1987,Oman,Y,1500,23.16666667,57.66666667,2000,Sorghum bicolor subsp. bicolor
PI 532234,Collection source event,7/2/1987,Oman,Y,700,23.16666667,57.16666667,2000,Sorghum bicolor subsp. bicolor
PI 532235,Collection source event,7/13/1987,Oman,Y,400,24.5,56,2000,Sorghum bicolor subsp. bicolor
PI 532713,Collection source event,11/27/1985,Niger,Y,720,18.58333333,8.81666667,2000,Sorghum bicolor subsp. bicolor
PI 532751,Collection source event,8/30/1987,Democratic Republic of the Congo,Y,700,-5.91666667,15,2000,Sorghum bicolor subsp. bicolor
PI 532752,Collection source event,9/6/1987,Democratic Republic of the Congo,Y,470,-5.45,14.86666667,2000,Sorghum bicolor subsp. bicolor
PI 535996,Collection source event,10/19/1986,Cameroon,Y,291,12.11666667,14.75,2000,Sorghum bicolor subsp. bicolor
PI 535997,Collection source event,10/19/1986,Cameroon,Y,291,12.11666667,14.75,2000,Sorghum bicolor subsp. bicolor
PI 535998,Collection source event,10/19/1986,Cameroon,Y,291,12.11666667,14.75,2000,Sorghum bicolor subsp. bicolor
PI 536000,Collection source event,10/19/1986,Cameroon,Y,292,12.96666667,14.65,2000,Sorghum bicolor subsp. bicolor
PI 536001,Collection source event,10/25/1986,Cameroon,Y,800,10.71666667,14.2,2000,Sorghum bicolor subsp. bicolor
PI 536002,Collection source event,10/25/1986,Cameroon,Y,800,10.71666667,14.2,2000,Sorghum bicolor subsp. bicolor
PI 536004,Collection source event,10/27/1986,Cameroon,Y,770,10.8,13.83333333,2000,Sorghum bicolor subsp. bicolor
PI 536005,Collection source event,10/27/1986,Cameroon,Y,770,10.8,13.83333333,2000,Sorghum bicolor subsp. bicolor
PI 536006,Collection source event,10/27/1986,Cameroon,Y,770,10.8,13.83333333,2000,Sorghum bicolor subsp. bicolor
PI 536511,Collection source event,10/31/1986,Maldives,Y,,5.45,73.01666667,2000,Sorghum bicolor subsp. bicolor
PI 536512,Collection source event,11/2/1986,Maldives,Y,,6.36666667,73.03333333,2000,Sorghum bicolor subsp. bicolor
PI 536513,Collection source event,11/8/1986,Maldives,Y,,6.81666667,73.2,2000,Sorghum bicolor subsp. bicolor
PI 536515,Collection source event,11/27/1986,Maldives,Y,,0.63333333,73.38333333,2000,Sorghum bicolor subsp. bicolor
PI 536516,Collection source event,11/30/1986,Maldives,Y,,0.23333333,73.21666667,2000,Sorghum bicolor subsp. bicolor
PI 537078,Collection source event,11/14/1986,Niger,Y,848,17.6,8.95,2000,Sorghum bicolor subsp. bicolor
PI 537079,Collection source event,11/20/1986,Niger,Y,881,7.33333333,8.7,2000,Sorghum bicolor subsp. bicolor
PI 537080,Collection source event,11/20/1986,Niger,Y,881,7.33333333,8.7,2000,Sorghum bicolor subsp. bicolor
PI 537081,Collection source event,11/16/1986,Niger,Y,1280,17.66666667,8.8,2000,Sorghum bicolor subsp. bicolor
PI 537082,Collection source event,11/16/1986,Niger,Y,1500,17.68333333,8.75,2000,Sorghum bicolor subsp. bicolor
PI 537083,Collection source event,11/16/1986,Niger,Y,1500,17.68333333,8.75,2000,Sorghum bicolor subsp. bicolor
PI 537084,Collection source event,11/16/1986,Niger,Y,1500,17.68333333,8.75,2000,Sorghum bicolor subsp. bicolor
PI 542638,Collection source event,6/12/1988,Algeria,Y,400,19.5,5.83333333,2000,Sorghum bicolor subsp. bicolor
PI 542639,Collection source event,6/19/1988,Algeria,Y,1700,23.5,6.16666667,2000,Sorghum bicolor subsp. bicolor
PI 542640,Collection source event,6/19/1988,Algeria,Y,1700,23.5,6.16666667,2000,Sorghum bicolor subsp. bicolor
PI 542642,Collection source event,6/20/1988,Algeria,Y,1350,23.83333333,5.83333333,2000,Sorghum bicolor subsp. bicolor
PI 542643,Collection source event,6/20/1988,Algeria,Y,1350,23.83333333,5.83333333,2000,Sorghum bicolor subsp. bicolor
PI 542646,Collection source event,6/21/1988,Algeria,Y,950,23.83333333,5.16666667,2000,Sorghum bicolor subsp. bicolor
PI 542647,Collection source event,6/21/1988,Algeria,Y,950,23.83333333,5.16666667,2000,Sorghum bicolor subsp. bicolor
PI 542648,Collection source event,6/22/1988,Algeria,Y,850,23,4.83333333,2000,Sorghum bicolor subsp. bicolor
PI 549167,Collection source event,10/9/1987,Mauritania,Y,15,16.88333333,-15.21666667,2000,Sorghum bicolor subsp. bicolor
PI 549168,Collection source event,10/9/1987,Mauritania,Y,15,16.88333333,15.21666667,2000,Sorghum bicolor subsp. bicolor
PI 549169,Collection source event,11/18/1987,Mauritania,Y,192,16.61666667,-9.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549171,Collection source event,11/20/1987,Mauritania,Y,150,15.7,-9.73333333,2000,Sorghum bicolor subsp. bicolor
PI 549172,Collection source event,11/20/1987,Mauritania,Y,150,15.66666667,-9.73333333,2000,Sorghum bicolor subsp. bicolor
PI 549173,Collection source event,11/20/1987,Mauritania,Y,150,15.66666667,-9.73333333,2000,Sorghum bicolor subsp. bicolor
PI 549175,Collection source event,11/20/1987,Mauritania,Y,150,15.66666667,-9.73333333,2000,Sorghum bicolor subsp. bicolor
PI 549176,Collection source event,11/20/1987,Mauritania,Y,190,15.81666667,-9.36666667,2000,Sorghum bicolor subsp. bicolor
PI 549177,Collection source event,11/21/1987,Mauritania,Y,230,15.68333333,-8.85,2000,Sorghum bicolor subsp. bicolor
PI 549178,Collection source event,11/21/1987,Mauritania,Y,230,15.68333333,-8.85,2000,Sorghum bicolor subsp. bicolor
PI 549179,Collection source event,11/21/1987,Mauritania,Y,230,15.68333333,-8.85,2000,Sorghum bicolor subsp. bicolor
PI 549180,Collection source event,11/26/1987,Mauritania,Y,240,16.35,-7.15,2000,Sorghum bicolor subsp. bicolor
PI 549181,Collection source event,11/24/1987,Mauritania,Y,240,16.35,-7.15,2000,Sorghum bicolor subsp. bicolor
PI 549182,Collection source event,10/20/1987,Chad,Y,360,12.5,16.5,2000,Sorghum bicolor subsp. bicolor
PI 549183,Collection source event,10/29/1987,Chad,Y,580,13.16666667,29.16666667,2000,Sorghum bicolor subsp. bicolor
PI 549184,Collection source event,10/29/1987,Chad,Y,580,13.16666667,21.16666667,2000,Sorghum bicolor subsp. bicolor
PI 549185,Collection source event,11/1/1987,Chad,Y,820,14.16666667,21.33333333,2000,Sorghum bicolor subsp. bicolor
PI 549186,Collection source event,11/10/1987,Chad,Y,320,13.5,16.33333333,2000,Sorghum bicolor subsp. bicolor
PI 549187,Collection source event,11/12/1987,Chad,Y,320,12.83333333,15.33333333,2000,Sorghum bicolor subsp. bicolor
PI 549188,Collection source event,11/12/1987,Chad,Y,320,12.83333333,15.33333333,2000,Sorghum bicolor subsp. bicolor
PI 549189,Collection source event,11/15/1987,Chad,Y,350,12,15.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549190,Collection source event,11/16/1987,Chad,Y,330,12,16,2000,Sorghum bicolor subsp. bicolor
PI 549191,Collection source event,11/16/1987,Chad,Y,330,12,16,2000,Sorghum bicolor subsp. bicolor
PI 549192,Collection source event,11/16/1987,Chad,Y,330,12,16,2000,Sorghum bicolor subsp. bicolor
PI 549193,Collection source event,11/16/1987,Chad,Y,350,12.16666667,16.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549194,Collection source event,11/17/1987,Chad,Y,340,12,17,2000,Sorghum bicolor subsp. bicolor
PI 549195,Collection source event,11/17/1987,Chad,Y,340,12,17,2000,Sorghum bicolor subsp. bicolor
PI 549196,Collection source event,11/17/1987,Chad,Y,340,12,17,2000,Sorghum bicolor subsp. bicolor
PI 549197,Collection source event,11/17/1987,Chad,Y,340,12,17,2000,Sorghum bicolor subsp. bicolor
PI 549198,Collection source event,11/20/1987,Chad,Y,330,11.5,16,2000,Sorghum bicolor subsp. bicolor
PI 549199,Collection source event,11/20/1987,Chad,Y,330,11.5,16,2000,Sorghum bicolor subsp. bicolor
PI 549200,Collection source event,11/20/1987,Chad,Y,330,11.5,16,2000,Sorghum bicolor subsp. bicolor
PI 549202,Collection source event,11/27/1987,Chad,Y,470,10.16666667,19.83333333,2000,Sorghum bicolor subsp. bicolor
PI 549203,Collection source event,11/29/1987,Chad,Y,450,10.83333333,19.83333333,2000,Sorghum bicolor subsp. bicolor
PI 549205,Collection source event,12/1/1987,Chad,Y,450,10.5,20.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549206,Collection source event,12/1/1987,Chad,Y,450,10.5,20.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549207,Collection source event,12/1/1987,Chad,Y,450,10.5,20.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549209,Collection source event,12/1/1987,Chad,Y,450,10.5,20.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549210,Collection source event,12/1/1987,Chad,Y,450,10.5,20.66666667,2000,Sorghum bicolor subsp. bicolor
PI 549211,Collection source event,12/1/1987,Chad,Y,450,10.5,20.66666667,2000,Sorghum bicolor subsp. bicolor
PI 570705,Collection source event,,"Sudan, Kordofan",Y,545,10.833901,30.748876,,Sorghum bicolor subsp. bicolor
PI 570731,Collection source event,,"Sudan, Eastern",Y,618,4.408056,32.574999,,Sorghum bicolor subsp. bicolor
PI 570739,Collection source event,,"Sudan, Kordofan",Y,545,10.833901,30.748876,,Sorghum bicolor subsp. bicolor
PI 570764,Collection source event,,"Sudan, Darfur",Y,917,14.300001,22.566702,,Sorghum bicolor subsp. bicolor
PI 570777,Collection source event,,"Sudan, Southern",Y,425,8.766667,27.400001,,Sorghum bicolor subsp. bicolor
PI 570784,Collection source event,,Sudan,Y,,12.340001,28.700007,,Sorghum bicolor subsp. bicolor
PI 570787,Collection source event,,"Sudan, Central",Y,,12.430003,34.069999,,Sorghum bicolor subsp. bicolor
PI 570858,Collection source event,,"Sudan, Kordofan",Y,545,10.833901,30.748876,,Sorghum bicolor subsp. bicolor
PI 570928,Collection source event,,Sudan,Y,,10.369999,30.229999,,Sorghum bicolor subsp. bicolor
PI 570971,Collection source event,,Sudan,Y,425,8.766667,27.400001,,Sorghum bicolor subsp. bicolor
PI 571001,Collection source event,,"Sudan, Kordofan",Y,528,11.016667,29.716667,,Sorghum bicolor subsp. bicolor
PI 542649,Collection source event,6/21/1988,Algeria,Y,950,23.83333333,5.16666667,2000,Sorghum hybr.
PI 562654,Collection source event,5/20/1976,"Australia, Northern Territory",Y,,-12.45,132.9666667,2000,Sorghum laxiflorum
PI 532570,Collection source event,,Chad,Y,460,10.66666667,20.16666667,2000,Sorghum purpureosericeum
PI 532571,Collection source event,,Chad,Y,480,10.83333333,20.66666667,2000,Sorghum purpureosericeum
PI 536008,Collection source event,10/21/1986,Cameroon,Y,300,11.25,14.66666667,2000,Sorghum purpureosericeum
PI 562655,Collection source event,5/7/1977,"Australia, Western Australia",Y,,-15.5,128,2000,Sorghum stipoideum
PI 276768,Collection source event,,"Ethiopia, H?rer? Hizb",Y,1236,9.58,41.86,,Sorghum bicolor subsp. bicolor
PI 276772,Collection source event,,"Ethiopia, H?rer? Hizb",Y,1236,9.58,41.86,,Sorghum bicolor subsp. bicolor
PI 276839,Collection source event,,"Ethiopia, H?rer? Hizb",Y,1236,9.58,41.86,,Sorghum bicolor subsp. bicolor
PI 570708,Collection source event,,"Sudan, Northern",Y,367,16.683333,33.433333,,Sorghum bicolor subsp. bicolor
PI 570750,Collection source event,,"Sudan, Southern",Y,440,7.269999,28.680003,,Sorghum bicolor subsp. bicolor
PI 570751,Collection source event,,"Sudan, Kordofan",Y,545,10.833901,30.748876,,Sorghum bicolor subsp. bicolor
PI 570799,Collection source event,,"Sudan, Kordofan",Y,528,11.016667,29.716667,,Sorghum bicolor subsp. bicolor
PI 570878,Collection source event,,"Sudan, Central",Y,480,14.399999,33.529998,,Sorghum bicolor subsp. bicolor
PI 570916,Collection source event,,Sudan,Y,,10.369999,30.229999,,Sorghum bicolor subsp. bicolor
PI 570936,Collection source event,,Sudan,Y,,10.369999,30.229999,,Sorghum bicolor subsp. bicolor
PI 570950,Collection source event,,"Sudan, Kordofan",Y,528,11.016667,29.716667,,Sorghum bicolor subsp. bicolor
PI 570969,Collection source event,,"Sudan, Northern",Y,367,16.683333,33.433333,,Sorghum bicolor subsp. bicolor
