,stdMinorAxisLength,sample,stdMajorAxisLength,majorAxisLength,averageArea,totalCount,stdArea,minorAxisLength
638,3.348045992,SAP331,4.74123811,52.38596537,1617.047619,30,206.6396625,40.086035
639,2.949983096,SAP332,5.793750644,51.39570986,1734.942857,63,175.3805565,44.2035478
640,3.854648401,SAP332,5.340935483,50.95310228,1714.777778,64,220.6376002,43.80471489
641,2.808952145,SAP333,2.521372385,50.78496862,1770.884615,48,174.6165749,45.11768018
642,2.752205678,SAP333,2.519938697,50.66341027,1761.64,52,169.1044364,45.02642542
643,3.547724731,SAP334,3.246075938,50.58677951,1717.023256,67,223.8427073,44.06752688
644,3.603449887,SAP334,3.190373773,50.64566497,1723.534884,69,225.3324519,44.16164726
645,3.664185972,SAP335,3.294495664,49.55793553,1675.769231,60,215.2437451,43.50790803
646,3.668388858,SAP335,3.303753039,49.49261022,1670.487179,60,216.3698012,43.41744057
647,3.953181409,SAP336,4.62913745,58.30341258,2024.142857,26,297.5217136,44.43732881
648,3.933970524,SAP336,4.647458042,58.34910197,2028.047619,26,298.1468919,44.48524774
649,3.615491221,SAP337,4.443401645,47.87353098,1284.111111,88,182.0507832,35.29809308
650,3.58124278,SAP337,4.22917633,47.80670265,1281.029412,87,171.6414672,35.2149538
651,3.69436085,SAP338,5.0322587,48.39104503,1459.176471,79,254.796282,38.97427281
652,3.695344304,SAP338,4.704060073,48.44255573,1462.428571,77,245.3514431,39.01848703
653,3.653352887,SAP339,3.328779323,46.09983594,1460.192308,50,217.4792685,40.77424876
654,3.737212183,SAP339,3.279574961,46.16409532,1461.384615,50,218.8139492,40.68590498
655,4.932668179,SAP340,4.114962773,51.70111284,1880.84,31,263.2361191,46.95949546
656,5.063524256,SAP340,4.237094674,51.72978991,1882.565217,31,271.9537726,46.9988384
657,4.894747016,SAP341,4.463999749,51.28954034,1800.038462,44,340.9407213,45.67329497
658,4.982195017,SAP341,4.566853636,51.59294188,1826.37037,44,349.1081917,46.00590961
659,2.847327044,SAP342,3.608600219,55.71762256,2140.545455,39,235.4679533,49.86432194
660,2.809208144,SAP342,3.632419433,55.6078491,2133.954545,38,232.4981871,49.82262667
661,2.800727401,SAP343,3.888120106,53.6030476,1920.411765,40,226.3201945,46.4131316
662,2.914696548,SAP343,3.84030358,53.51074786,1913.823529,40,228.3944563,46.39472564
663,4.601911162,SAP344,4.902287069,43.01359204,1247.209302,64,293.9230684,36.89759022
664,4.587635957,SAP344,4.906960039,43.00179336,1244.418605,64,292.3804651,36.83277228
665,4.169948949,SAP345,4.37939151,48.68646,1588.65,50,281.1101697,41.98537451
666,4.198113269,SAP345,4.411720822,48.67231841,1600.047619,51,279.7923509,42.34195742
667,4.045866817,SAP346,3.514752567,46.24751867,1385.342857,71,234.541491,39.74072792
668,3.976113243,SAP346,3.406415173,46.22104817,1381.75,71,211.359012,39.55509224
669,3.766012532,SAP347,4.011077917,54.00374957,1929.925,73,268.4512421,46.05295826
670,3.747510117,SAP347,4.001648638,54.05115793,1934.95,73,269.8901582,46.12343974
671,3.336761211,SAP348,2.921119807,53.68444926,1900.210526,48,233.871665,46.6639204
672,3.397769741,SAP348,2.82671142,53.75547968,1906.944444,48,237.843079,46.74221173
673,3.638707072,SAP349,4.545896615,52.79150469,1762.151515,47,264.3987027,43.28554118
674,3.393260926,SAP349,3.89440313,53.62242167,1773.933333,54,214.3161113,43.16330349
675,3.19144605,SAP350,2.871057737,51.54599008,1789.425,67,198.5936665,44.76483787
676,3.233045918,SAP350,2.844965877,51.44506587,1785.125,66,198.475211,44.73800103
677,3.945625638,SAP351,3.373911752,52.27427179,1816.837209,54,227.2343253,44.92446781
678,3.974051362,SAP351,3.35855843,52.23493402,1813.813953,54,226.5176471,44.8802291
679,2.860278383,SAP352,2.914711218,51.36059318,1596.290323,60,157.7521931,40.07445781
680,2.889123393,SAP352,2.970517759,51.29135883,1592.258065,60,158.858421,40.03553773
681,2.327032302,SAP353,4.387218744,45.5469777,1216.685714,72,140.1655697,34.79369819
682,2.3345402,SAP353,4.00335664,45.40524804,1210.972222,70,139.2063788,34.66392292
683,3.839738742,SAP354,3.572594381,49.66499769,1595.5625,52,202.0519638,41.34413383
684,3.827920826,SAP354,3.598026142,49.61138794,1592.84375,52,203.4010984,41.32874204
685,2.236672482,SAP355,3.064045205,47.49114652,1328.28125,84,131.1562128,35.92053662
686,2.232764034,SAP355,3.031348395,47.51075971,1329.875,84,129.9756588,35.90147606
687,2.247968165,SAP356,4.040247145,39.80708341,946.7317073,94,141.4710217,30.86600378
688,2.344574841,SAP356,3.800607248,39.53803594,943.0,93,141.5923382,30.76814166
689,3.482302017,SAP357,4.306282655,50.24372507,1662.419355,55,259.1618966,42.99295923
690,3.477279321,SAP357,4.362868502,50.33887037,1669.741935,56,260.4709095,43.09586002
691,3.721574626,SAP358,2.892954097,54.37152565,2073.586207,46,229.650787,49.34490299
692,3.699952924,SAP358,2.892675937,54.3522235,2073.172414,46,230.4215131,49.35313402
693,2.72846578,SAP359,2.881602587,46.98956306,1556.571429,56,166.430186,42.52044618
694,2.653302858,SAP359,3.532932697,47.4724637,1561.52381,56,167.0171417,42.55696125
695,3.151756901,SAP360,2.799587932,51.96376186,1891.73913,67,220.7022817,46.68965398
696,3.073728897,SAP360,2.895417929,51.89694967,1899.136364,68,222.3899719,46.8869006
697,4.223490188,SAP361,3.13399575,47.60560929,1543.214286,67,230.8540598,41.70357981
