,b,r,sample,g,closest color
163,63.16437233,117.3285603,BAP106,67.41153473,dark brown
164,63.95965863,118.0581804,BAP106,68.17933163,dark brown
165,68.91899661,135.4246405,BAP107,80.33536282,dark brown
166,69.78905683,135.9087332,BAP107,81.13732878,red
167,154.6148037,184.524651,BAP108,161.5700665,white
168,154.9043599,184.7763354,BAP108,161.8708102,white
169,46.67737494,38.9805129,BAP109,38.9461101,dark brown
170,44.98277203,37.36832741,BAP109,37.44734372,dark brown
171,65.15637621,112.0999477,BAP110,69.89096286,dark brown
172,65.88368937,112.3555004,BAP110,70.37610141,dark brown
173,71.28143024,125.9888468,BAP111,77.2418481,dark brown
174,85.63394628,141.3814945,BAP112,101.19826,light brown
175,96.11345042,151.9311372,BAP112,113.3897908,yellow
176,127.4554969,169.5721147,BAP113,141.1480129,cream
177,130.6440741,173.0983888,BAP113,144.4204651,cream
178,80.93550403,143.2228094,BAP114,87.93072605,red
179,82.52804244,145.5427423,BAP114,88.65229704,red
180,63.50736956,115.3034988,BAP115,66.90817668,dark brown
181,59.71659695,112.0388101,BAP115,62.83918053,dark brown
182,61.39514199,108.8416385,BAP116,65.22255954,dark brown
183,63.22986489,115.6896495,BAP116,68.85078902,dark brown
184,61.23745089,94.75127926,BAP117,62.25008301,dark brown
185,72.18978177,63.5563746,BAP117,64.07519954,dark brown
186,78.8749703,70.99291378,BAP118,71.30678581,dark brown
187,62.34875062,106.2004875,BAP118,65.33477329,dark brown
188,62.63129209,113.7528615,BAP119,66.72499907,dark brown
189,62.82814575,109.3179068,BAP119,65.45054201,dark brown
190,65.32727464,114.4473119,BAP120,68.67717314,dark brown
191,64.99117495,108.2073876,BAP120,67.57433291,dark brown
192,71.02517986,61.75179856,BAP121,61.69064748,dark brown
193,68.88680648,124.6322247,BAP121,79.42214037,dark brown
194,66.05145731,110.4700957,BAP122,68.72331093,dark brown
195,67.11547721,114.3458574,BAP122,69.99493072,dark brown
196,59.92399517,108.4772844,BAP123,64.48813386,dark brown
197,59.73300984,108.1986287,BAP123,64.52165513,dark brown
198,62.5244433,115.6647505,BAP124,69.28647221,dark brown
199,62.29134371,53.20514506,BAP125,53.90829536,dark brown
200,65.52459841,70.65118626,BAP126,58.88847494,dark brown
201,63.92650495,73.01742968,BAP126,58.62694516,dark brown
202,58.8894032,110.0272181,BAP127,64.903106,dark brown
203,60.41170934,108.7591054,BAP127,65.56638897,dark brown
204,107.9799962,148.5739125,BAP128,120.074157,yellow
205,104.6624586,145.3039359,BAP128,116.2949354,yellow
206,72.59095336,131.0661329,BAP129,89.23811437,red
207,75.82271016,91.20786185,BAP129,76.15891945,dark brown
208,76.68262678,122.955329,BAP130,84.42390792,dark brown
209,74.62624217,128.284824,BAP130,85.91527774,dark brown
210,63.5697742,80.86963201,BAP131,59.39076923,dark brown
211,103.8088066,141.3287904,BAP132,111.0152839,light brown
212,102.87692,143.7066595,BAP132,111.0989247,light brown
213,86.93551559,146.687237,BAP133,97.11292872,light brown
214,84.76194306,142.8440658,BAP133,94.56969815,light brown
215,86.45188329,145.9619973,BAP134,99.49826744,light brown
216,87.75969975,145.1559076,BAP134,99.87433305,light brown
217,66.00108832,65.00080949,BAP135,59.02513596,dark brown
218,72.00812876,63.9816592,BAP135,64.0023089,dark brown
219,63.67358266,106.3922097,BAP136,66.79408282,dark brown
220,69.48231742,60.77542547,BAP136,61.03212609,dark brown
221,87.63793495,124.3295962,BAP137,95.02486189,red
222,84.31637788,120.9661357,BAP137,91.60873843,dark brown
223,72.57364699,63.90674179,BAP138,63.89220735,dark brown
224,64.09947379,111.8778436,BAP138,68.14327219,dark brown
225,64.73670039,95.18010475,BAP139,63.14242007,dark brown
226,68.49253147,60.1341567,BAP139,60.31003399,dark brown
227,75.15283613,66.85386029,BAP140,67.43421744,dark brown
228,67.01588926,116.6776554,BAP140,71.42680738,dark brown
229,80.98401555,118.8464323,BAP141,87.12051336,dark brown
230,72.47976267,98.64635969,BAP141,74.9584271,dark brown
231,73.23796354,64.52245788,BAP142,64.59918132,dark brown
232,111.4069222,135.5820706,BAP142,116.0135563,yellow
233,67.06639994,124.5811492,BAP143,74.86445265,dark brown
234,65.94878683,56.45700208,BAP143,56.94522311,dark brown
235,73.26737187,89.78338204,BAP144,70.50707895,dark brown
236,62.45136187,124.0924125,BAP144,72.93968872,dark brown
237,72.36484544,63.36673253,BAP145,63.79344964,dark brown
238,68.26875954,59.39374657,BAP145,59.57058236,dark brown
239,62.00132493,102.442071,BAP146,63.64442982,dark brown
240,42.49813823,34.48825241,BAP147,34.79574009,dark brown
241,61.90689728,104.6992221,BAP148,65.2408179,dark brown
242,64.183254,120.2463561,BAP149,69.32383507,dark brown
243,62.60782425,114.3926544,BAP149,65.9553746,dark brown
244,133.1487951,172.7783287,BAP150,145.8986131,chalky white
245,133.553614,173.9165442,BAP150,146.5025617,chalky white
246,61.14249842,113.1729353,BAP151,66.13299085,dark brown
247,61.40860059,110.5786111,BAP151,65.04569871,dark brown
248,66.96054883,116.5932095,BAP152,72.36740231,dark brown
249,67.03676301,113.4944841,BAP152,71.73037434,dark brown
250,131.8336628,171.6973068,BAP153,139.973549,cream
251,138.1861086,177.1683875,BAP153,147.3733633,chalky white
252,68.05521492,59.48646612,BAP154,59.23548239,dark brown
253,65.76778453,127.1673096,BAP154,78.03695072,dark brown
254,64.27124024,102.6436016,BAP155,68.15081403,dark brown
255,63.84956032,70.95787653,BAP155,59.70161505,dark brown
256,68.45732132,127.5941774,BAP156,77.11657518,dark brown
257,67.81982884,125.8073803,BAP156,76.43351554,dark brown
258,90.44006399,147.9367629,BAP157,105.4505139,light brown
259,95.15993171,150.6705121,BAP157,109.958064,light brown
260,96.02168318,144.7258147,BAP158,103.9310713,light brown
261,97.04671316,144.527403,BAP158,104.4057247,light brown
262,144.1812635,188.6600501,BAP159,159.3807628,white
263,149.1813405,193.8022175,BAP159,164.9296307,white
264,130.1012272,185.2027558,BAP160,147.1063265,chalky white
265,129.500673,185.3286982,BAP160,145.5417915,chalky white
266,141.0428996,187.3440871,BAP161,158.1612287,white
267,145.2480366,191.5003704,BAP161,162.4704732,white
268,95.22326921,168.0716288,BAP162,125.1933047,yellow
269,89.05997262,160.8502278,BAP162,118.3052165,yellow
270,60.42151366,120.7246288,BAP163,68.01586426,dark brown
271,71.54061003,63.7760939,BAP163,64.00720217,dark brown
272,87.16273877,162.7264672,BAP164,116.9659971,yellow
273,85.67067128,162.0045166,BAP164,116.4386276,yellow
274,66.38499385,57.08364084,BAP165,58.00492005,dark brown
275,59.68728271,111.1759663,BAP166,62.54275407,dark brown
276,58.11187467,106.9073697,BAP166,60.50090826,dark brown
277,70.65422669,114.555364,BAP167,77.27457144,dark brown
278,72.85818574,121.9390994,BAP167,79.79874997,dark brown
279,147.3464819,185.4917218,BAP168,157.8813242,white
280,148.1672387,187.5983708,BAP168,159.5059458,white
281,124.0469301,160.8829119,BAP169,134.5612995,cream
282,124.9893688,161.7766732,BAP169,135.4903771,cream
283,137.8305011,175.2956436,BAP170,147.8799275,chalky white
284,128.3230368,168.2063128,BAP170,137.6806273,cream
285,60.21137381,51.40163485,BAP171,51.82880604,dark brown
286,63.47280926,115.7316393,BAP171,72.10312818,dark brown
287,113.9331079,151.0979514,BAP172,123.2294835,yellow
288,108.1386695,140.7092611,BAP172,115.8450292,yellow
289,57.0943292,49.07887169,BAP174,49.15802739,dark brown
290,95.34178643,144.7601351,BAP174,108.5682836,light brown
291,59.79266887,78.84577208,BAP175,56.0453826,dark brown
292,61.14728487,88.02124814,BAP175,58.4971719,dark brown
293,90.07002516,144.8513804,BAP176,101.2592925,light brown
294,91.68975648,149.7244906,BAP176,105.0939275,light brown
295,129.2394902,178.5120308,BAP177,146.5630672,cream
296,121.6257196,172.5239014,BAP177,139.7039144,cream
297,120.9138578,170.3778035,BAP178,136.6698814,cream
298,119.5110053,168.6762531,BAP178,134.4723933,cream
