,sample,r,g,b,closest color
357,SAP185,166.5126904,131.5938428,118.0738561,cream
358,SAP186,174.3577987,147.5435938,132.3042212,chalky white
359,SAP186,174.125128,147.2355843,131.9294928,chalky white
360,SAP187,177.3093995,150.8807654,136.4760673,chalky white
361,SAP187,177.0143,150.4849375,135.9232893,chalky white
362,SAP188,184.6741617,155.5354665,139.5365662,pearl
363,SAP188,184.741124,155.682967,139.7513467,pearl
364,SAP189,160.9790629,100.0381416,88.29683988,light brown
365,SAP189,160.7184661,99.20706586,87.49900268,light brown
366,SAP190,166.2239462,103.6521175,91.22594289,light brown
367,SAP190,166.5059428,104.1882101,91.9113381,light brown
368,SAP191,182.2992351,151.8185569,135.0196288,chalky white
369,SAP191,182.5168845,152.0659878,135.3976466,pearl
370,SAP192,128.6255209,70.96697417,62.66437356,dark brown
371,SAP192,127.7659742,70.10985235,61.65446099,dark brown
372,SAP193,138.0867065,83.30478317,72.58586137,red
373,SAP193,137.6217233,82.65510832,71.87915292,red
374,SAP194,174.6376588,143.6434395,128.2078847,cream
375,SAP194,175.2858169,144.4477861,129.0130654,cream
376,SAP195,135.7857226,81.80099562,71.90298142,red
377,SAP195,134.8870242,80.3336778,70.28688198,dark brown
378,SAP196,171.0103785,134.5435052,116.2508292,cream
379,SAP196,171.4350591,135.1430937,117.1294771,cream
380,SAP197,123.7715944,71.21683584,57.95138729,dark brown
381,SAP197,124.2099697,71.5880699,58.51262874,dark brown
382,SAP198,188.729472,159.8981254,144.0440533,white
383,SAP198,189.0881058,160.2682936,144.4817613,white
384,SAP199,133.98819,75.30617953,66.48213151,dark brown
385,SAP199,133.612909,74.60305512,65.60647382,dark brown
386,SAP200,162.6619547,121.985592,102.986823,yellow
387,SAP200,162.3774386,121.5054843,102.3899799,yellow
388,SAP201,160.4303086,119.5556148,106.8542472,yellow
389,SAP201,159.9651601,118.7911851,106.1018248,yellow
390,SAP202,111.8233799,61.64422117,54.67855883,dark brown
391,SAP202,112.1542537,62.25531929,55.5263851,dark brown
392,SAP203,116.5760664,69.72195599,64.95953398,dark brown
393,SAP203,116.9453352,70.48989827,66.06137597,dark brown
394,SAP204,180.7922601,145.9531469,130.9461871,chalky white
395,SAP204,180.6242973,145.5957001,130.5242795,chalky white
396,SAP205,193.2737766,174.3203762,166.197936,white
397,SAP205,193.2067007,174.2762703,166.0391925,white
398,SAP206,125.0897672,70.2641213,61.55071069,dark brown
399,SAP206,125.5917146,70.84225059,62.28758593,dark brown
400,SAP207,137.7156576,83.79877619,63.62069849,red
401,SAP207,137.2125568,83.15688425,62.79818518,dark brown
402,SAP208,176.5963943,149.2431782,136.69693,chalky white
403,SAP208,176.3019219,148.9148883,136.3004402,chalky white
404,SAP209,155.9606984,113.5229671,87.20321045,light brown
405,SAP209,155.7071652,113.0735049,86.59825793,light brown
406,SAP210,181.3640587,152.2830758,134.8575208,chalky white
407,SAP210,181.1079111,151.9426448,134.5745085,chalky white
408,SAP211,175.3181487,147.6306199,134.9713428,chalky white
409,SAP211,174.8466429,147.033053,134.1949526,chalky white
410,SAP212,144.6058633,100.6156976,79.4111549,light brown
411,SAP212,144.247391,100.1248532,78.70402087,light brown
412,SAP213,189.2277597,161.8551973,146.8558989,white
413,SAP213,189.0041253,161.5463182,146.4718379,white
414,SAP214,137.8361399,87.06671164,71.16588036,red
415,SAP214,138.1393273,87.4769003,71.76298275,red
416,SAP215,187.2403855,165.4795547,157.3446597,white
417,SAP215,187.0131156,165.2051205,157.0346139,white
418,SAP216,161.6375773,125.0522975,98.19407659,yellow
419,SAP217,122.3267046,73.27776591,61.42545721,dark brown
420,SAP218,125.790366,78.29827574,73.80690675,dark brown
421,SAP218,125.5097402,77.16733334,72.57555373,dark brown
422,SAP219,185.1461499,158.448513,145.5642949,white
423,SAP219,184.9871017,158.2376899,145.2936809,white
424,SAP220,133.5460512,82.06936029,69.03010192,dark brown
425,SAP220,133.1302873,81.58837152,69.12990732,dark brown
426,SAP221,171.1485179,138.6435511,128.880577,cream
427,SAP221,170.8773243,137.9932923,128.025268,cream
428,SAP222,174.4002071,141.6558411,126.8204586,cream
429,SAP222,173.5435427,140.5198729,125.4945545,cream
430,SAP223,140.7062833,77.08531326,71.47734506,red
431,SAP223,140.5740522,76.36322336,70.52267974,red
432,SAP224,183.3221012,156.0519532,142.8911701,white
433,SAP224,183.5895886,156.4008821,143.2282671,white
434,SAP225,111.5678327,67.92713771,64.15220616,dark brown
435,SAP225,111.0604103,67.25073317,63.37025327,dark brown
436,SAP226,160.3810477,95.65662501,83.08945311,light brown
437,SAP226,162.2984394,96.92536032,84.60142572,light brown
438,SAP227,144.3262255,98.2260499,75.64951658,light brown
439,SAP227,144.6779015,98.75721743,76.35923073,light brown
440,SAP228,176.2836365,144.9077939,126.9692306,cream
441,SAP228,176.7060265,145.452002,127.5904463,cream
442,SAP229,176.1600319,145.734522,127.920874,cream
443,SAP229,176.1034863,145.632511,127.8220962,cream
444,SAP230,168.2835755,133.5262967,120.0266731,cream
445,SAP230,167.8734014,132.9097505,119.2103033,cream
446,SAP231,141.0355599,91.89703778,83.50976572,red
447,SAP231,152.5965345,111.6825742,104.3936234,yellow
448,SAP232,171.8971659,130.7764725,106.922381,yellow
449,SAP233,171.874426,139.2619492,125.496375,cream
450,SAP233,172.1397893,139.6425542,125.9044914,cream
451,SAP234,143.179907,89.1477875,67.4490388,red
452,SAP234,143.4670395,89.70457938,68.36401986,red
453,SAP235,174.682063,147.3603018,136.0848093,chalky white
454,SAP235,174.9834408,147.7296102,136.6006084,chalky white
455,SAP236,151.5038285,92.71649348,85.11585412,light brown
456,SAP237,161.6958958,120.982945,105.5085844,yellow
457,SAP237,162.0543037,121.3991477,106.2015908,yellow
458,SAP238,149.0965998,94.33812105,77.93517271,red
459,SAP238,149.1355571,94.05645761,77.32745462,red
460,SAP239,123.9583711,71.0436024,64.94995942,dark brown
461,SAP239,123.5776228,70.38762894,64.09090568,dark brown
462,SAP240,170.4330838,138.2166249,119.4684443,cream
463,SAP240,170.2299452,137.8104832,118.9605253,cream
464,SAP241,152.3488824,100.4580114,79.64794357,light brown
465,SAP241,152.1803353,100.5345961,80.28137399,light brown
466,SAP242,183.2595553,155.6537198,140.8032715,pearl
467,SAP242,183.347343,155.7112844,140.7914727,pearl
468,SAP243,132.3762571,85.53526307,80.16813779,red
469,SAP243,132.1667709,85.88757242,80.56532274,red
470,SAP244,174.3535398,138.5441892,116.8781911,cream
471,SAP244,174.6437188,138.8819244,117.4346696,cream
472,SAP245,141.2790055,94.05662224,75.42631945,red
473,SAP245,141.7120287,94.83597575,76.60496783,red
474,SAP246,184.95486,165.6911242,157.3534916,white
475,SAP246,185.1720434,166.2079135,157.9740001,white
476,SAP247,192.786165,171.7307522,161.4227665,white
477,SAP247,193.0200449,172.1083491,161.9506257,white
478,SAP248,183.8732929,157.3472855,143.895662,white
479,SAP248,183.5953482,156.914275,143.5211991,white
480,SAP249,179.5613319,153.352954,142.2522091,pearl
481,SAP249,179.3446203,153.0759754,141.9847028,pearl
482,SAP250,159.7616347,99.97052009,90.58486708,light brown
