,stdArea,totalCount,majorAxisLength,sample,averageArea,stdMinorAxisLength,minorAxisLength,stdMajorAxisLength
52,131.0864471,32,48.83083539,BAP027,1536.387097,2.613161189,40.69312485,2.217060917
53,77.38575809,14,57.59200183,BAP028,2094.333333,1.396238554,46.63801657,1.724664844
54,164.1730578,14,54.55773712,BAP028,1961.230769,1.868951543,46.08718154,3.289996386
55,182.4996332,54,39.67383559,BAP029,1016.372549,2.95337873,33.19597928,3.869667657
56,188.479017,54,39.57514482,BAP029,1010.6875,3.003550471,32.98238357,3.998144383
57,175.2696462,38,47.05374366,BAP030,1448.866667,2.760193321,40.12587539,2.539253866
58,192.1148062,41,47.46495561,BAP030,1424.111111,2.792223957,39.24814114,2.845618633
59,168.6863167,56,43.44300247,BAP031,1176.843137,2.773680523,35.13264158,4.178170408
60,180.9060519,54,42.88547042,BAP031,1169.019608,2.903777964,35.21540871,4.010072252
61,227.009364,50,44.55921412,BAP032,1316.355556,3.875972292,39.58253234,3.025873801
62,226.5803441,53,44.52772307,BAP032,1316.1875,3.645070623,39.6913512,3.234675763
63,303.0509138,47,47.96464421,BAP033,1415.171429,5.091047679,39.1735493,5.25529634
64,294.096936,47,48.12780004,BAP033,1433.147059,5.025669798,39.42711148,4.505061279
65,221.163651,47,48.06998602,BAP034,1443.857143,4.234084952,39.64297472,3.518560069
66,220.3132133,47,47.84490803,BAP034,1430.878049,4.095617965,39.39428357,3.56203552
67,350.3797395,64,54.04713275,BAP035,1932.852459,4.328208608,46.23035833,4.939850049
68,334.6000524,59,54.18957197,BAP035,1945.694915,4.014207384,46.42352902,4.749719237
69,178.443861,69,44.94520058,BAP036,1183.5,3.08301085,35.10301275,3.189266213
70,179.5694109,73,45.45890832,BAP036,1201.266667,3.042756234,35.14011064,2.939759406
71,148.2846882,38,49.09528681,BAP037,1387.611111,2.159440758,36.37106934,3.687487789
72,148.7727159,39,49.04191776,BAP037,1387.111111,2.179400686,36.39476734,3.65197768
73,205.0179163,39,53.01133155,BAP038,1958.647059,2.439078318,48.02989504,2.915031643
74,224.9535532,41,52.98902066,BAP038,1960.694444,2.568331173,48.03281571,3.169745267
75,136.0069315,51,43.57995682,BAP039,1051.392157,2.478815511,31.38513579,3.657836515
76,139.7568172,53,43.46595368,BAP039,1047.735849,2.47735831,31.32300643,3.756623717
77,267.670097,57,54.56099919,BAP040,1861.270833,3.127905899,44.82241074,3.726138819
78,270.4999197,52,54.162229,BAP040,1864.44898,3.38008928,45.22718886,3.855123388
79,196.1693944,50,46.95505132,BAP041,1309.022727,2.627378028,36.76464297,4.446358536
80,194.3365494,52,46.32609496,BAP041,1288.829787,2.645177608,36.69487363,4.381069655
81,182.0031887,68,41.85235594,BAP042,1196.707692,3.277509006,37.00294383,2.84730015
82,195.2376043,68,41.57907653,BAP042,1179.969231,3.737489736,36.66914322,2.930633165
83,325.7771361,39,49.25971823,BAP043,1639.315789,5.152426783,42.99799681,3.996350273
84,317.2438963,37,48.56704793,BAP043,1511.684211,4.821570609,40.50120376,4.032252282
85,135.3460397,52,44.16241637,BAP044,1266.787234,2.532102814,37.15935271,2.722963253
86,145.2013314,52,44.13862091,BAP044,1270.229167,2.665632351,37.28318562,2.845740685
87,148.2461822,66,36.48374657,BAP045,881.1451613,2.785965353,31.23912889,3.605319833
88,147.6563052,68,36.56489707,BAP045,884.8888889,2.83015211,31.32659958,3.570461525
89,224.3899041,59,42.87825809,BAP046,1101.864407,4.231772402,33.24650807,4.495510001
90,217.8062891,58,43.42129433,BAP046,1125.438596,4.11242737,33.52493667,4.176573583
91,178.1062112,50,45.78912774,BAP047,1415.395833,2.952935449,40.56180568,2.894016636
